"id","name","height","weight","hp","attack","defense","s_attack","s_defense","speed","type","evo_set","info"
279,"pelipper","12","280","60","50","100","95","70","65","{water,flying}",139,"It is a messenger of the skies, carrying small Pokémon and eggs to safety in its bill."
280,"ralts","4","66","28","25","25","45","35","40","{psychic,fairy}",140,"RALTS senses the emotions of people using the horns on its head. This POKéMON rarely appears before people. But when it does, it draws closer if it senses that the person has a positive disposition."
281,"kirlia","8","202","38","35","35","65","55","50","{psychic,fairy}",140,"It is said that a KIRLIA that is exposed to the positive emotions of its TRAINER grows beautiful. This POKéMON controls psychokinetic powers with its highly developed brain."
282,"gardevoir","16","484","68","65","65","125","115","80","{psychic,fairy}",140,"GARDEVOIR has the ability to read the future. If it senses impending danger to its TRAINER, this POKéMON is said to unleash its psychokinetic energy at full power."
283,"surskit","5","17","40","30","32","50","52","65","{bug,water}",141,"From the tips of its feet, SURSKIT secretes an oil that enables it to walk on water as if it were skating. This POKéMON feeds on microscopic organisms in ponds and lakes."
284,"masquerain","8","36","70","60","62","100","82","80","{bug,flying}",141,"MASQUERAIN intimidates enemies with the eyelike patterns on its antennas. This POKéMON flaps its four wings to freely fly in any direction - even sideways and backwards - as if it were a helicopter."
285,"shroomish","4","45","60","40","60","40","60","35","{grass}",142,"SHROOMISH live in damp soil in the dark depths of forests. They are often found keeping still under fallen leaves. This POKéMON feeds on compost that is made up of fallen, rotted leaves."
286,"breloom","12","392","60","130","80","60","60","70","{grass,fighting}",142,"BRELOOM closes in on its foe with light and sprightly footwork, then throws punches with its stretchy arms. This POKéMON’s fighting technique puts boxers to shame."
287,"slakoth","8","240","60","60","60","35","35","30","{normal}",143,"SLAKOTH lolls around for over twenty hours every day. Because it moves so little, it does not need much food. This POKéMON’s sole daily meal consists of just three leaves."
288,"vigoroth","14","465","80","80","80","55","55","90","{normal}",143,"VIGOROTH is always itching and agitated to go on a wild rampage. It simply can’t tolerate sitting still for even a minute. This POKéMON’s stress level rises if it can’t be moving constantly."
289,"slaking","20","1305","150","160","100","95","65","100","{normal}",143,"SLAKING spends all day lying down and lolling about. It eats grass growing within its reach. If it eats all the grass it can reach, this POKéMON reluctantly moves to another spot."
290,"nincada","5","55","31","45","90","30","30","40","{bug,ground}",144,"NINCADA lives underground for many years in complete darkness. This POKéMON absorbs nutrients from the roots of trees. It stays motionless as it waits for evolution."
291,"ninjask","8","120","61","90","45","50","50","160","{bug,flying}",144,"NINJASK moves around at such a high speed that it cannot be seen, even while its crying can be clearly heard. For that reason, this POKéMON was long believed to be invisible."
292,"shedinja","8","12","1","90","45","30","30","40","{bug,ghost}",144,"SHEDINJA’s hard body doesn’t move - not even a twitch. In fact, its body appears to be merely a hollow shell. It is believed that this POKéMON will steal the spirit of anyone peering into its hollow body from its back."
293,"whismur","6","163","64","51","23","51","23","28","{normal}",145,"Normally, WHISMUR’s voice is very quiet - it is barely audible even if one is paying close attention. However, if this POKéMON senses danger, it starts crying at an earsplitting volume."
294,"loudred","10","405","84","71","43","71","43","48","{normal}",145,"LOUDRED’s bellowing can completely decimate a wood-frame house. It uses its voice to punish its foes. This POKéMON’s round ears serve as loudspeakers."
295,"exploud","15","840","104","91","63","91","73","68","{normal}",145,"EXPLOUD triggers earthquakes with the tremors it creates by bellowing. If this POKéMON violently inhales from the ports on its body, it’s a sign that it is preparing to let loose a huge bellow."
296,"makuhita","10","864","72","60","30","20","30","25","{fighting}",146,"MAKUHITA is tenacious - it will keep getting up and attacking its foe however many times it is knocked down. Every time it gets back up, this POKéMON stores more energy in its body for evolving."
297,"hariyama","23","2538","144","120","60","40","60","50","{fighting}",146,"It has the habit of challenging others without hesitation to tests of strength. It’s been known to stand on train tracks and stop trains using forearm thrusts."
298,"azurill","2","20","50","20","40","20","40","20","{normal,fairy}",90,"A Pokémon that lives by water. It moves quickly on land by bouncing on its big tail."
299,"nosepass","10","970","30","45","135","45","90","30","{rock}",147,"NOSEPASS’s magnetic nose is always pointed to the north. If two of these POKéMON meet, they cannot turn their faces to each other when they are close because their magnetic noses repel one another."
300,"skitty","6","110","50","45","45","35","35","50","{normal}",148,"SKITTY has the habit of becoming fascinated by moving objects and chasing them around. This POKéMON is known to chase after its own tail and become dizzy."
301,"delcatty","11","326","70","65","65","55","55","90","{normal}",148,"DELCATTY prefers to live an unfettered existence in which it can do as it pleases at its own pace. Because this POKéMON eats and sleeps whenever it decides, its daily routines are completely random."
302,"sableye","5","110","50","75","75","65","65","50","{dark,ghost}",149,"SABLEYE lead quiet lives deep inside caverns. They are feared, however, because these POKéMON are thought to steal the spirits of people when their eyes burn with a sinister glow in the darkness."
303,"mawile","6","115","50","85","85","55","55","50","{steel,fairy}",150,"MAWHILE’s huge jaws are actually steel horns that have been transformed. Its docile-looking face serves to lull its foe into letting down its guard. When the foe least expects it, MAWHILE chomps it with its gaping jaws."
304,"aron","4","600","50","70","100","40","40","30","{steel,rock}",151,"This POKéMON has a body of steel. To make its body, ARON feeds on iron ore that it digs from mountains. Occasionally, it causes major trouble by eating bridges and rails."
305,"lairon","9","1200","60","90","140","50","50","40","{steel,rock}",151,"LAIRON tempers its steel body by drinking highly nutritious mineral springwater until it is bloated. This POKéMON makes its nest close to springs of delicious water."
306,"aggron","21","3600","70","110","180","60","60","50","{steel,rock}",151,"AGGRON claims an entire mountain as its own territory. It mercilessly beats up anything that violates its environment. This POKéMON vigilantly patrols its territory at all times."
307,"meditite","6","112","30","40","55","40","55","60","{fighting,psychic}",152,"MEDITITE undertakes rigorous mental training deep in the mountains. However, whenever it meditates, this POKéMON always loses its concentration and focus. As a result, its training never ends."
308,"medicham","13","315","60","60","75","60","75","80","{fighting,psychic}",152,"It is said that through meditation, MEDICHAM heightens energy inside its body and sharpens its sixth sense. This POKéMON hides its presence by merging itself with fields and mountains."
309,"electrike","6","152","40","45","40","65","40","65","{electric}",153,"ELECTRIKE stores electricity in its long body hair. This POKéMON stimulates its leg muscles with electric charges. These jolts of power give its legs explosive acceleration performance."
310,"manectric","15","402","70","75","60","105","60","105","{electric}",153,"MANECTRIC is constantly discharging electricity from its mane. The sparks sometimes ignite forest fires. When it enters a battle, this POKéMON creates thunderclouds."
311,"plusle","4","42","60","50","40","85","75","95","{electric}",154,"PLUSLE always acts as a cheerleader for its partners. Whenever a teammate puts out a good effort in battle, this POKéMON shorts out its body to create the crackling noises of sparks to show its joy."
312,"minun","4","42","60","40","50","75","85","95","{electric}",155,"MINUN is more concerned about cheering on its partners than its own safety. It shorts out the electricity in its body to create brilliant showers of sparks to cheer on its teammates."
313,"volbeat","7","177","65","73","75","47","85","85","{bug}",156,"With the arrival of night, VOLBEAT emits light from its tail. It communicates with others by adjusting the intensity and flashing of its light. This POKéMON is attracted by the sweet aroma of ILLUMISE."
314,"illumise","6","177","65","47","75","73","85","85","{bug}",157,"With its sweet aroma, it guides Volbeat to draw signs with light in the night sky."
315,"roselia","3","20","50","60","45","100","80","65","{grass,poison}",158,"ROSELIA shoots sharp thorns as projectiles at any opponent that tries to steal the flowers on its arms. The aroma of this POKéMON brings serenity to living things."
316,"gulpin","4","103","70","43","53","43","53","40","{poison}",159,"Virtually all of GULPIN’s body is its stomach. As a result, it can swallow something its own size. This POKéMON’s stomach contains a special fluid that digests anything."
317,"swalot","17","800","100","73","83","73","83","55","{poison}",159,"When SWALOT spots prey, it spurts out a hideously toxic fluid from its pores and sprays the target. Once the prey has weakened, this POKéMON gulps it down whole with its cavernous mouth."
318,"carvanha","8","208","45","90","20","65","20","65","{water,dark}",160,"CARVANHA’s strongly developed jaws and its sharply pointed fangs pack the destructive power to rip out boat hulls. Many boats have been attacked and sunk by this POKéMON."
319,"sharpedo","18","888","70","120","40","95","40","95","{water,dark}",160,"Nicknamed “the bully of the sea,” SHARPEDO is widely feared. Its cruel fangs grow back immediately if they snap off. Just one of these POKéMON can thoroughly tear apart a supertanker."
320,"wailmer","20","1300","130","70","35","70","35","60","{water}",161,"WAILMER’s nostrils are located above its eyes. This playful POKéMON loves to startle people by forcefully snorting out seawater it stores inside its body out of its nostrils."
321,"wailord","145","3980","170","90","45","90","45","60","{water}",161,"WAILORD is the largest of all identified POKéMON up to now. This giant POKéMON swims languorously in the vast open sea, eating massive amounts of food at once with its enormous mouth."
322,"numel","7","240","60","60","40","65","45","35","{fire,ground}",162,"NUMEL is extremely dull witted - it doesn’t notice being hit. However, it can’t stand hunger for even a second. This POKéMON’s body is a seething cauldron of boiling magma."
323,"camerupt","19","2200","70","100","70","105","75","40","{fire,ground}",162,"CAMERUPT has a volcano inside its body. Magma of 18,000 degrees F courses through its body. Occasionally, the humps on this POKéMON’s back erupt, spewing the superheated magma."
324,"torkoal","5","804","70","85","140","85","70","20","{fire}",163,"You can tell how it’s feeling by the smoke spouting from its shell. Tremendous velocity is a sign of good health."
325,"spoink","7","306","60","25","35","70","80","60","{psychic}",164,"SPOINK bounces around on its tail. The shock of its bouncing makes its heart pump. As a result, this POKéMON cannot afford to stop bouncing - if it stops, its heart will stop."
326,"grumpig","9","715","80","45","65","90","110","80","{psychic}",164,"GRUMPIG uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this POKéMON uses its special power, its snorting breath grows labored."
327,"spinda","11","50","60","60","60","60","60","60","{normal}",165,"No two Spinda have the same pattern of spots. Its tottering step fouls the aim of foes."
328,"trapinch","7","150","45","100","45","45","45","10","{ground}",166,"TRAPINCH’s nest is a sloped, bowl-like pit dug in sand. This POKéMON patiently waits for prey to tumble down the pit. Its giant jaws have enough strength to crush even boulders."
329,"vibrava","11","153","50","70","50","50","50","70","{ground,dragon}",166,"To make prey faint, VIBRAVA generates ultrasonic waves by vigorously making its two wings vibrate. This POKéMON’s ultrasonic waves are so powerful, they can bring on headaches in people."
330,"flygon","20","820","80","100","80","80","80","100","{ground,dragon}",166,"FLYGON is nicknamed “the elemental  spirit of the desert.” Because its flapping wings whip up a cloud of sand, this POKéMON is always enveloped in a sandstorm while flying."
331,"cacnea","4","513","50","85","40","85","40","35","{grass}",167,"CACNEA lives in arid locations such as deserts. It releases a strong aroma from its flower to attract prey. When prey comes near, this POKéMON shoots sharp thorns from its body to bring the victim down."
332,"cacturne","13","774","70","115","60","115","60","55","{grass,dark}",167,"During the daytime, CACTURNE remains unmoving so that it does not lose any moisture to the harsh desert sun. This POKéMON becomes active at night when the temperature drops."
333,"swablu","4","12","45","40","60","40","75","50","{normal,flying}",168,"SWABLU has light and fluffy wings that are like cottony clouds. This POKéMON is not frightened of people. It lands on the heads of people and sits there like a cotton-fluff hat."
334,"altaria","11","206","75","70","90","70","105","80","{dragon,flying}",168,"ALTARIA dances and wheels through the sky among billowing, cotton-like clouds. By singing melodies in its crystal-clear voice, this POKéMON makes its listeners experience dreamy wonderment."
335,"zangoose","13","403","73","115","60","60","60","90","{normal}",169,"Memories of battling its arch-rival SEVIPER are etched into every cell of ZANGOOSE’s body. This POKéMON adroitly dodges attacks with incredible agility."
336,"seviper","27","525","73","100","60","100","60","65","{poison}",170,"SEVIPER shares a generations-long feud with ZANGOOSE. The scars on its body are evidence of vicious battles. This POKéMON attacks using its sword- edged tail."
337,"lunatone","10","1680","90","55","65","95","85","70","{rock,psychic}",171,"LUNATONE was discovered at a location where a meteorite fell. As a result, some people theorize that this POKéMON came from space. However, no one has been able to prove this theory so far."
338,"solrock","12","1540","90","95","85","55","65","70","{rock,psychic}",172,"Solar energy is the source of its power, so it is strong during the daytime. When it spins, its body shines."
339,"barboach","4","19","50","48","43","46","41","60","{water,ground}",173,"BARBOACH’s sensitive whiskers serve as a superb radar system. This POKéMON hides in mud, leaving only its two whiskers exposed while it waits for prey to come along."
340,"whiscash","9","236","110","78","73","76","71","60","{water,ground}",173,"WHISCASH is extremely territorial. Just one of these POKéMON will claim a large pond as its exclusive territory. If a foe approaches it, it thrashes about and triggers a massive earthquake."
341,"corphish","6","115","43","80","65","50","35","35","{water}",174,"Its hardy vitality enables it to adapt to any environment. Its pincers will never release prey."
342,"crawdaunt","11","328","63","120","85","90","55","55","{water,dark}",174,"CRAWDAUNT has an extremely violent nature that compels it to challenge other living things to battle. Other life-forms refuse to live in ponds inhabited by this POKéMON, making them desolate places."
343,"baltoy","5","215","40","40","55","40","70","55","{ground,psychic}",175,"BALTOY moves while spinning around on its one foot. Primitive wall paintings depicting this POKéMON living among people were discovered in some ancient ruins."
344,"claydol","15","1080","60","70","105","70","120","75","{ground,psychic}",175,"CLAYDOL are said to be dolls of mud made by primitive humans and brought to life by exposure to a mysterious ray. This POKéMON moves about while levitating."
345,"lileep","10","238","66","41","77","61","87","23","{rock,grass}",176,"LILEEP became extinct approximately a hundred million years ago. This ancient POKéMON attaches itself to a rock on the seafloor and catches approaching prey using tentacles  shaped like flower petals."
346,"cradily","15","604","86","81","97","81","107","43","{rock,grass}",176,"CRADILY roams around the ocean floor in search of food. This POKéMON freely extends its tree trunk-like neck and captures unwary prey using its eight tentacles."
347,"anorith","7","125","45","95","50","40","50","75","{rock,bug}",177,"ANORITH was regenerated from a prehistoric fossil. This primitive POKéMON once lived in warm seas. It grips its prey firmly between its two large claws."
348,"armaldo","15","682","75","125","100","70","80","45","{rock,bug}",177,"ARMALDO’s tough armor makes all attacks bounce off. This POKéMON’s two enormous claws can be freely extended or contracted. They have the power to punch right through a steel slab."
349,"feebas","6","74","20","15","20","10","55","80","{water}",178,"FEEBAS’s fins are ragged and tattered from the start of its life. Because of its shoddy appearance, this POKéMON is largely ignored. It is capable of living in both the sea and in rivers."
350,"milotic","62","1620","95","60","79","100","125","81","{water}",178,"Its lovely scales are described as rainbow colored. They change color depending on the viewing angle."
351,"castform","3","8","70","70","70","70","70","70","{normal}",179,"CASTFORM’s appearance changes with the weather. This POKéMON gained the ability to use the vast power of nature to protect its tiny body."
352,"kecleon","10","220","60","90","70","60","120","40","{normal}",180,"It changes body color to blend in with its surroundings. It also changes color if it is happy or sad."
353,"shuppet","6","23","44","75","35","63","33","45","{ghost}",181,"SHUPPET is attracted by feelings of jealousy and vindictiveness. If someone develops strong feelings of vengeance, this POKéMON will appear in a swarm and line up beneath the eaves of that person’s home."
354,"banette","11","125","64","115","65","83","63","65","{ghost}",181,"BANETTE generates energy for laying strong curses by sticking pins into its own body. This POKéMON was originally a pitiful plush doll that was thrown away."
355,"duskull","8","150","20","40","90","30","90","25","{ghost}",182,"DUSKULL can pass through any wall no matter how thick it may be. Once this POKéMON chooses a target, it will doggedly pursue the intended victim until the break of dawn."
356,"dusclops","16","306","40","70","130","60","130","25","{ghost}",182,"DUSCLOPS’s body is completely hollow - there is nothing at all inside. It is said that its body is like a black hole. This POKéMON will absorb anything into its body, but nothing will ever come back out."
357,"tropius","20","1000","99","68","83","72","87","51","{grass,flying}",183,"The bunches of fruit around TROPIUS’s neck are very popular with children. This POKéMON loves fruit, and eats it continuously. Apparently, its love for fruit resulted in its own outgrowth of fruit."
358,"chimecho","6","10","75","50","80","95","90","65","{psychic}",184,"CHIMECHO makes its cries echo inside its hollow body. When this POKéMON becomes enraged, its cries result in ultrasonic waves that have the power to knock foes flying."
359,"absol","12","470","65","130","60","75","60","75","{dark}",185,"Every time ABSOL appears before people, it is followed by a disaster such as an earthquake or a tidal wave. As a result, it came to be known as the disaster POKéMON."
360,"wynaut","6","140","95","23","48","23","48","23","{psychic}",100,"WYNAUT can always be seen with a big, happy smile on its face. Look at its tail to determine if it is angry. When angered, this POKéMON will be slapping the ground with its tail."
361,"snorunt","7","168","50","50","50","50","50","50","{ice}",186,"SNORUNT live in regions with heavy snowfall. In seasons without snow, such as spring and summer, this POKéMON steals away to live quietly among stalactites and stalagmites deep in caverns."
362,"glalie","15","2565","80","80","80","80","80","80","{ice}",186,"GLALIE has a body made of rock, which it hardens with an armor of ice. This POKéMON has the ability to freeze moisture in the atmosphere into any shape it desires."
363,"spheal","8","395","70","40","50","55","50","25","{ice,water}",187,"SPHEAL is much faster rolling than  walking to get around. When groups of this POKéMON eat, they all clap at once to show their pleasure. Because of this, their mealtimes are noisy."
364,"sealeo","11","876","90","60","70","75","70","45","{ice,water}",187,"SEALEO has the habit of always juggling on the tip of its nose anything it sees for the first time. This POKéMON occasionally entertains itself by balancing and rolling a SPHEAL on its nose."
365,"walrein","14","1506","110","80","90","95","90","65","{ice,water}",187,"It swims through icy seas while shattering ice floes with its large tusks. It is protected by its thick blubber."
366,"clamperl","4","525","35","64","85","74","55","32","{water}",188,"CLAMPERL’s sturdy shell is not only good for protection - it is also used for clamping and catching prey. A fully grown CLAMPERL’s shell will be scored with nicks and scratches all over."
367,"huntail","17","270","55","104","105","94","75","52","{water}",188,"HUNTAIL’s presence went unnoticed by people for a long time because it lives at extreme depths in the sea. This POKéMON’s eyes can see clearly even in the murky dark depths of the ocean."
368,"gorebyss","18","226","55","84","105","114","75","52","{water}",188,"GOREBYSS lives in the southern seas at extreme depths. Its body is built to withstand the enormous pressure of water at incredible depths. Because of this, this POKéMON’s body is unharmed by ordinary attacks."
369,"relicanth","10","234","100","90","130","45","65","55","{water,rock}",189,"RELICANTH is a POKéMON species that existed for a hundred million years without ever changing its form. This ancient POKéMON feeds on microscopic organisms with its toothless mouth."
370,"luvdisc","6","87","43","30","55","40","65","97","{water}",190,"LUVDISC live in shallow seas in the tropics. This heart-shaped POKéMON earned its name by swimming after loving couples it spotted in the ocean’s waves."
371,"bagon","6","421","45","75","60","40","30","50","{dragon}",191,"Dreaming of one day flying, it practices by leaping off cliffs every day."
372,"shelgon","11","1105","65","95","100","60","50","50","{dragon}",191,"Inside SHELGON’s armor-like shell, cells are in the midst of transformation to create an entirely new body. This POKéMON’s shell is extremely heavy, making its movements sluggish."
373,"salamence","15","1026","95","135","80","110","80","100","{dragon,flying}",191,"SALAMENCE came about as a result of a strong, long-held dream of growing wings. It is said that this powerful desire triggered a sudden mutation in this POKéMON’s cells, causing it to sprout its magnificent wings."
374,"beldum","6","952","40","55","80","35","60","30","{steel,psychic}",192,"Instead of blood, a powerful magnetic force courses throughout BELDUM’s body. This POKéMON communicates with others by sending controlled pulses of magnetism."
375,"metang","12","2025","60","75","100","55","80","50","{steel,psychic}",192,"When two BELDUM fuse together, METANG is formed. The brains of the BELDUM are joined by a magnetic nervous system. By linking its brains magnetically, this POKéMON generates strong psychokinetic power."
376,"metagross","16","5500","80","135","130","95","90","70","{steel,psychic}",192,"METAGROSS has four brains in total. Combined, the four brains can breeze through difficult calculations faster than a supercomputer. This POKéMON can float in the air by tucking in its four legs."
377,"regirock","17","2300","80","100","200","50","100","50","{rock}",193,"Its entire body is made of rock. If any part chips off in battle, it attaches rocks to repair itself."
378,"regice","18","1750","80","50","100","100","200","50","{ice}",194,"REGICE’s body was made during an ice age. The deep-frozen body can’t be melted, even by fire. This POKéMON controls frigid air of minus 328 degrees F."
379,"registeel","19","2050","80","75","150","75","150","50","{steel}",195,"REGISTEEL has a body that is harder than any kind of metal. Its body is apparently hollow. No one has any idea what this POKéMON eats."
380,"latias","14","400","80","80","90","110","130","110","{dragon,psychic}",196,"LATIAS is highly sensitive to the emotions of people. If it senses any hostility, this POKéMON ruffles the feathers all over its body and cries shrilly to intimidate the foe."
381,"latios","20","600","80","90","80","130","110","110","{dragon,psychic}",197,"LATIOS has the ability to make its foe see an image of what it has seen or imagines in its head. This POKéMON is intelligent and understands human speech."
382,"kyogre","45","3520","100","100","90","150","140","90","{water}",198,"KYOGRE has the power to create massive rain clouds that cover the entire sky and bring about torrential downpours. This POKéMON saved people who were suffering from droughts."
383,"groudon","35","9500","100","150","140","100","90","90","{ground}",199,"GROUDON has long been described in  mythology as the POKéMON that raised lands and expanded continents. This POKéMON took to sleep after a cataclysmic battle with KYOGRE."
384,"rayquaza","70","2065","105","150","90","150","90","95","{dragon,flying}",200,"RAYQUAZA lived for hundreds of millions of years in the earth’s ozone layer,  never descending to the ground. This POKéMON appears to feed on water and particles in the atmosphere."
385,"jirachi","3","11","100","100","100","100","100","100","{steel,psychic}",201,"A legend states that JIRACHI will make true any wish that is written on notes attached to its head when it awakens. If this POKéMON senses danger, it will fight without awakening."
386,"deoxys","17","608","50","150","50","150","50","150","{psychic}",202,"The DNA of a space virus underwent a sudden mutation upon exposure to a laser beam and resulted in DEOXYS. The crystalline organ on this POKéMON’s chest appears to be its brain."
387,"turtwig","4","102","55","68","64","45","55","31","{grass}",203,"Made from soil, the shell on its back hardens when it drinks water. It lives along lakes."
388,"grotle","11","970","75","89","85","55","65","36","{grass}",203,"It knows where pure water wells up. It carries fellow Pokémon there on its back."
389,"torterra","22","3100","95","109","105","75","85","56","{grass,ground}",203,"Small Pokémon occasionally gather on its unmoving back to begin building their nests."
390,"chimchar","5","62","44","58","44","58","44","61","{fire}",204,"It agilely scales sheer cliffs to live atop craggy mountains. Its fire is put out when it sleeps."
391,"monferno","9","220","64","78","52","78","52","81","{fire,fighting}",204,"To intimidate attackers, it stretches the fire on its tail to make itself appear bigger."
392,"infernape","12","550","76","104","71","104","71","108","{fire,fighting}",204,"It uses a special kind of martial arts involving all its limbs. Its fire never goes out."
393,"piplup","4","52","53","51","53","61","56","40","{water}",205,"Because it is very proud, it hates accepting food from people. Its thick down guards it from cold."
394,"prinplup","8","230","64","66","68","81","76","50","{water}",205,"It lives alone, away from others. Apparently, every one of them believes it is the most important."
395,"empoleon","17","845","84","86","88","111","101","60","{water,steel}",205,"The three horns that extend from its beak attest to its power. The leader has the biggest horns."
396,"starly","3","20","40","55","30","30","30","60","{normal,flying}",206,"They flock in great numbers. Though small, they flap their wings with great power."
397,"staravia","6","155","55","75","50","40","40","80","{normal,flying}",206,"It flies around forests and fields in search of bug Pokémon. It stays within a huge flock."
398,"staraptor","12","249","85","120","70","50","60","100","{normal,flying}",206,"It has a savage nature. It will courageously challenge foes that are much larger."
399,"bidoof","5","200","59","45","40","35","40","31","{normal}",207,"With nerves of steel, nothing can perturb it. It is more agile and active than it appears."
400,"bibarel","10","315","79","85","60","55","60","71","{normal,water}",207,"It makes its nest by damming streams with bark and mud. It is known as an industrious worker."
401,"kricketot","3","22","37","25","41","25","41","25","{bug}",208,"It shakes its head back to front, causing its antennae to hit each other and sound like a xylophone."
402,"kricketune","10","255","77","85","51","55","51","65","{bug}",208,"It crosses its knifelike arms in front of its chest when it cries. It can compose melodies ad lib."
403,"shinx","5","95","45","65","34","40","34","45","{electric}",209,"All of its fur dazzles if danger is sensed. It flees while the foe is momentarily blinded."
404,"luxio","9","305","60","85","49","60","49","60","{electric}",209,"Its claws loose electricity with enough amperage to cause fainting. They live in small groups."
405,"luxray","14","420","80","120","79","95","79","70","{electric}",209,"It has eyes that can see through anything. It spots and captures prey hiding behind objects."
406,"budew","2","12","40","30","35","50","70","55","{grass,poison}",158,"Over the winter, it closes its bud and endures the cold. In spring, the bud opens and releases pollen."
407,"roserade","9","145","60","70","65","125","105","90","{grass,poison}",158,"It attracts prey with a sweet aroma, then downs it with thorny whips hidden in its arms."
408,"cranidos","9","315","67","125","40","30","30","58","{rock}",211,"It lived in jungles around 100 million years ago. Its skull is as hard as iron."
409,"rampardos","16","1025","97","165","60","65","50","58","{rock}",211,"Its powerful head butt has enough power to shatter even the most durable things upon impact."
410,"shieldon","5","570","30","42","118","42","88","30","{rock,steel}",212,"A Pokémon that lived in jungles around 100 million years ago. Its facial hide is extremely hard."
411,"bastiodon","13","1495","60","52","168","47","138","30","{rock,steel}",212,"Any frontal attack is repulsed. It is a docile Pokémon that feeds on grass and berries."
412,"burmy","2","34","40","29","45","29","45","36","{bug}",213,"To shelter itself from cold, wintry winds, it covers itself with a cloak made of twigs and leaves."
413,"wormadam","5","65","60","59","85","79","105","36","{bug,grass}",213,"When BURMY evolved, its cloak became a part of this Pokémon’s body. The cloak is never shed."
414,"mothim","9","233","70","94","50","94","50","66","{bug,flying}",213,"It loves the honey of flowers and steals honey collected by COMBEE."
415,"combee","3","55","30","30","42","30","42","70","{bug,flying}",214,"A Pokémon formed by three others. It busily carries sweet floral honey to VESPIQUEN."
416,"vespiquen","12","385","70","80","102","80","102","40","{bug,flying}",214,"Its abdomen is a honeycomb for grubs. It raises its grubs on honey collected by COMBEE."
417,"pachirisu","4","39","60","45","70","45","90","95","{electric}",215,"It makes fur balls that crackle with static electricity. It stores them with berries in tree holes."
418,"buizel","7","295","55","65","35","60","30","85","{water}",216,"It has a flotation sac that is like an inflatable collar. It floats on water with its head out."
419,"floatzel","11","335","85","105","55","85","50","115","{water}",216,"It floats using its well-developed flotation sac. It assists in the rescues of drowning people."
420,"cherubi","4","33","45","35","45","62","53","35","{grass}",217,"The small ball holds the nutrients needed for evolution. Apparently, it is very sweet and tasty."
421,"cherrim","5","93","70","60","70","87","78","85","{grass}",217,"It blooms during times of strong sunlight. It tries to make up for everything it endured as a bud."
422,"shellos","3","63","76","48","48","57","62","34","{water}",218,"Its colors and shapes differ from region to region. In the Sinnoh region, two types are confirmed."
423,"gastrodon","9","299","111","83","68","92","82","39","{water,ground}",218,"It has a pliable body without any bones. If any part of its body is torn off, it grows right back."
424,"ambipom","12","203","75","100","66","60","66","115","{normal}",93,"To eat, it deftly shucks nuts with its two tails. It rarely uses its arms now."
425,"drifloon","4","12","90","50","34","60","44","70","{ghost,flying}",219,"A Pokémon formed by the spirits of people and Pokémon. It loves damp, humid seasons."
426,"drifblim","12","150","150","80","44","90","54","80","{ghost,flying}",219,"At dusk, swarms of them are carried aloft on winds. When noticed, they suddenly vanish."
427,"buneary","4","55","55","66","44","44","56","85","{normal}",220,"It slams foes by sharply uncoiling its rolled ears. It stings enough to make a grown-up cry in pain."
428,"lopunny","12","333","65","76","84","54","96","105","{normal}",220,"An extremely cautious Pokémon. It cloaks its body with its fluffy ear fur when it senses danger."
429,"mismagius","9","44","60","60","60","105","105","105","{ghost}",98,"Its cries sound like incantations. Those hearing it are tormented by headaches and hallucinations."
430,"honchkrow","9","273","100","125","52","105","52","71","{dark,flying}",97,"Becoming active at night, it is known to swarm with numerous MURKROW in tow."
431,"glameow","5","39","49","55","42","42","37","85","{normal}",221,"It claws if displeased and purrs when affectionate. Its fickleness is very popular among some."
432,"purugly","10","438","71","82","64","64","59","112","{normal}",221,"It is a brazen brute that barges its way into another Pokémon’s nest and claims it as its own."
433,"chingling","2","6","45","30","50","65","50","45","{psychic}",184,"It emits cries by agitating an orb at the back of its throat. It moves with flouncing hops."
434,"stunky","4","192","63","63","47","41","41","74","{poison,dark}",223,"It protects itself by spraying a noxious fluid from its rear. The stench lingers for 24 hours."
435,"skuntank","10","380","103","93","67","71","61","84","{poison,dark}",223,"It sprays a vile-smelling fluid from the tip of its tail to attack. Its range is over 160 feet."
436,"bronzor","5","605","57","24","86","24","86","23","{steel,psychic}",224,"Implements shaped like it were discovered in ancient tombs. It is unknown if they are related."
437,"bronzong","13","1870","67","89","116","79","116","33","{steel,psychic}",224,"One caused a news sensation when it was dug up at a construction site after a 2,000-year sleep."
438,"bonsly","5","150","50","80","95","10","45","10","{rock}",91,"It looks as if it is always crying. It is actually adjusting its body’s fluid levels by eliminating excess."
439,"mime-jr","6","130","20","25","45","70","90","60","{psychic,fairy}",57,"It habitually mimics foes. Once mimicked, the foe cannot take its eyes off this Pokémon."
440,"happiny","6","244","100","5","5","15","65","30","{normal}",51,"It loves round white things. It carries an egg-shaped rock in imitation of CHANSEY."
441,"chatot","5","19","76","65","45","92","42","91","{normal,flying}",228,"It can learn and speak human words. If they gather, they all learn the same saying."
442,"spiritomb","10","1080","50","92","108","92","108","35","{ghost,dark}",229,"A Pokémon that was formed by 108 spirits. It is bound to a fissure in an odd keystone."
443,"gible","7","205","58","70","45","40","45","42","{dragon,ground}",230,"It nests in small, horizontal holes in cave walls. It pounces to catch prey that stray too close."
444,"gabite","14","560","68","90","65","50","55","82","{dragon,ground}",230,"There is a long-held belief that medicine made from its scales will heal even incurable illnesses."
